facility_id,district,block
13641933-2dbe-4972-b6f0-ff45a88bf326,NTR,Nandigama
c53bcb91-b506-4f6f-9c69-71046158ec94,Krishna,Vuyyuru
760f749a-4ef8-4975-b427-ec842f78aeb7,Krishna,Vuyyuru
2f5184ee-1fb7-4248-8d22-25cada37e44f,Krishna,Vuyyuru
261f0aa1-deb5-444b-b8e4-fd81ffe8f3ee,NTR,Nandigama
76bfe6a8-5b43-4059-80fc-912433ca8461,NTR,Nandigama
bcd2da2a-f3f5-41af-b3ae-4c0cb601f4cd,NTR,Nandigama
13b9e688-6917-4668-a0c5-b42051fe2f04,NTR,Vijayawada
d8e0fa59-057c-412b-9d4b-f97a205e9fdb,NTR,Nandigama
1f89cc68-7e4c-4418-9add-8eeff140923e,NTR,Nandigama
f134f915-71e4-4562-9ce2-0612d254a762,NTR,Vijayawada
f9d04465-b093-47c3-bff8-93bec7da2dec,NTR,Nandigama
7da19336-7835-4d02-a5f1-6a6f3b284383,NTR,Nandigama
e20fd4ce-455d-43ad-8825-a1ed7de74e4b,NTR,Nandigama
3a68e0d5-7ecb-415a-99e9-4e7dde8a4533,NTR,Nandigama
864c87d3-1ffe-4efb-9d32-925c35ea0ee3,NTR,Nandigama
cf81850c-94d5-4cf9-a190-50687dc5a247,NTR,Nandigama
0cac9736-0e54-4f2b-a663-c8d83ac2db72,NTR,Vijayawada
6bd8935d-f138-446a-8967-764f954d2d3a,Krishna,Vuyyuru
bdb22c3a-6b64-4359-ab13-1c9f227d3876,NTR,Vijayawada
a5cd13df-5843-4dc9-8aee-b8b7cc12b242,Krishna,Vuyyuru
76b46331-49c2-4f9e-b084-d7ebc9b4b839,Krishna,Vuyyuru
3c626740-24b9-4760-8cb5-a1592eaabf31,NTR,Nandigama
93c01759-dc3f-4b9e-8501-5529ee2dfd5f,NTR,Nandigama
4452a4dd-c85d-40be-99fd-35eea811a243,NTR,Nandigama
e00cd8ad-2aaa-4084-befe-98a552d1728e,NTR,Vijayawada
af231517-d58b-4b4d-be48-a4c41cb91a04,NTR,Nandigama
59c939c5-b099-4779-9cef-df90ebfd4056,NTR,Vijayawada
dc5622d5-d1d7-4ff3-b59c-217de2ae68b6,NTR,Nandigama
1d49c5ef-0b6c-4d29-ba0b-5d754f87dc19,NTR,Nandigama
e93ddd3b-af19-4527-850b-3c697630fd53,NTR,Vijayawada
fead101b-4c82-483f-8af4-37bc83ab6f82,Krishna,Vuyyuru
e50c201d-a537-40ed-bcec-e95d6489b761,NTR,Nandigama
f6f93ce2-ebf5-425b-b706-be18d30ae327,Krishna,Vuyyuru
6d6dd3f3-abb6-4ab8-9ddd-c1de25f295b7,NTR,Nandigama
203cb96e-7512-44a2-94b8-14aaf637a94d,NTR,Vijayawada
b34c7048-03b6-4b38-980b-9f3e9697d921,NTR,Vijayawada
dfb65f7e-2537-4981-9ffa-37a41fe005f6,NTR,Vijayawada
51435d33-142a-40ed-94f8-a4f27e39488f,NTR,Vijayawada
b4382fb9-15ce-46df-afd6-fab39c0d15e3,NTR,Nandigama
b69e388e-c3f3-4381-8eff-97f3b9ca4b91,NTR,Vijayawada
f49e5244-3fd7-4e07-a436-a544c2e7e53e,NTR,Vijayawada
9cd800f5-5142-4777-a705-c36aec2f9638,NTR,Vijayawada
c459e5f5-5990-477c-9e3a-43cc8b955e17,NTR,Nandigama
3116172d-b40c-4623-934c-adc8ba98f5d5,NTR,Vijayawada
210f4750-b2bc-4fa8-9b7f-00c114a93dd1,NTR,Vijayawada
6a878547-128a-48cd-aecf-31e866b44485,NTR,Vijayawada
911d586f-f446-440f-9820-6ee564ac8d2e,NTR,Vijayawada
4cd26574-bac7-4fd4-8f73-26361550624e,NTR,Vijayawada
983b42d9-9638-4316-b820-2f64dc9f9211,NTR,Nandigama
599d7524-0761-44f0-9b74-911c194f5bf9,NTR,Vijayawada
fab37cc8-cb86-4eb8-b876-689b61b0e956,NTR,Vijayawada
0ad4cd34-d767-41aa-b466-f289ba6bb158,NTR,Tiruvuru
98c8baf6-68a2-4b74-a140-490e82539667,NTR,Vijayawada
6cdb6438-1874-4f41-8e4d-09c18b9f32f7,NTR,Vijayawada
2ee6fc46-5d18-4ab1-995a-8d5f894f1390,NTR,Vijayawada
95eef2b7-6cc1-4945-a130-0e3e6881c593,NTR,Vijayawada
7dd763b6-936c-49fb-81df-161df7540c6d,NTR,Vijayawada
8ef6c4fe-76e2-49d5-8519-cb1132ebff7b,NTR,Vijayawada
56db341b-c5bd-48b9-9980-19be2dc07b89,NTR,Nandigama
a131ade3-23c5-4a48-8a61-39697ff8c444,NTR,Nandigama
ead4a0f4-dd34-4830-b4b2-a6ca0f3c23f3,NTR,Vijayawada
26315f52-bfab-4e0a-8803-a2d8c650ff11,NTR,Nandigama
ce5bf185-2b23-4056-8194-ec7242bac7da,NTR,Nandigama
77e5d0e4-7a01-40ef-afb7-c10624a074c6,NTR,Nandigama
a263e661-c513-425d-9936-1826a0bda53a,NTR,Vijayawada
56048ba5-b0b7-4ee8-a045-a5b94a266141,NTR,Vijayawada
05329c04-7b69-432d-a711-ba605f943cb5,NTR,Nandigama
ed6fb5a5-e354-4114-9631-57feef9cb0d9,NTR,Nandigama
9b38a9e3-056a-4750-80c7-1833969262ff,Krishna,Vuyyuru
96468cb6-704f-4305-93e8-94ea944ec38f,NTR,Vijayawada
04714e0e-a176-44fc-a8e0-629fe7c397e6,Krishna,Vuyyuru
bf2d7b1c-395e-4e0c-8b03-18b80123ebb3,NTR,Nandigama
a0eecd82-f3a5-47e0-ae01-e90e0c96533d,Krishna,Gudivada
16b6038d-8124-4cd8-88f8-d024a612e727,NTR,Nandigama
b9ff7bda-e0ef-46c9-a8e9-1b4d3c3a835f,Krishna,Vuyyuru
b200b9f8-f8d1-4a90-8824-c7a7ffb1eefe,NTR,Nandigama
231c53eb-f0c1-45c7-a123-cb612b2fe9c9,NTR,Nandigama
6542682a-6d6f-455b-9197-00d192e85cd5,NTR,Nandigama
84ae0d4f-1f4c-4575-8742-b26da0b3f2ac,NTR,Nandigama
4f0e0ad1-5f57-48b9-af0a-1433216537a6,Krishna,Vuyyuru
4c2c638e-de6e-453d-ab99-6c0e7c51ed1b,Krishna,Vuyyuru
3a85266b-7e52-475c-9013-0709e0fb8a82,NTR,Nandigama
